district,sector,latitude,longitude,soil_type,flood_count_5yr,flash_flood_count_5yr,riverine_flood_count_5yr,landslide_count_5yr,mudslide_count_5yr,drought_months_5yr,severe_storm_count_5yr,windstorm_count_5yr,hailstorm_count_5yr,lightning_strike_count_5yr,earthquake_count_5yr,forest_fire_count_5yr,epidemic_outbreak_count_5yr,casualties_5yr,displaced_people_5yr,damaged_buildings_5yr,damaged_crops_hectares_5yr,infrastructure_damage_count_5yr,annual_rainfall_mm,max_daily_rainfall_mm,dry_season_length_days,extreme_heat_days_per_year,extreme_rainfall_days_per_year,elevation_m,slope_degree,distance_to_water_km,soil_erosion_risk_index,vegetation_cover_percentage,population_density,infrastructure_index,emergency_resources_score,early_warning_systems_score,healthcare_access_score,poverty_index,historical_damage_usd
Nyarugenge,Gitega,-1.9547,30.0574,Clay loam,2,2,1,0,1,4,5,7,4,13,3,0,1,35,566,129,173,24,868.513940418086,114.09663896992681,107.91675831210692,29,19,1900.7583377824026,18.307545254658812,5.289584144785238,37.12757738590029,84.35528950967438,1338.608948968006,51.14559183041492,96.82709819579102,64.47969709174706,77.61574387989488,59.211700219772425,120362.46010192831
Nyarugenge,Kanyinya,-1.9425,30.0234,Sandy clay,1,2,1,4,2,0,11,9,1,12,4,0,0,7,468,67,257,43,833.9922027449905,141.22013652812453,115.79463849889193,13,8,1970.3815996039336,19.281472361353092,4.1135212315933565,40.3981551296995,65.50483276803813,697.397908389677,44.72867322836078,98.93876693864166,29.996655986866532,29.826390981187586,48.232585270067474,56236.55278356113
Nyarugenge,Kigali,-1.9494,30.0588,Clay,0,1,1,1,1,2,7,5,2,3,0,1,0,7,554,52,19,53,1028.6235073162636,90.94475161422689,150.08906753558654,28,15,1908.8483175951133,15.850469635073592,4.529528435751122,41.300398917892856,48.42927103940646,780.0460113809272,24.43603655396668,70.5031170295472,58.158401234215404,58.13914129280593,17.522879332557277,36708.95885015159
Nyarugenge,Kimisagara,-1.9569,30.0397,Sandy loam,0,0,2,5,3,2,7,0,5,10,3,0,1,23,311,142,176,2,358.2807236890688,38.78938762893824,101.91624002046652,12,12,1891.98597179085,17.97161338123914,6.020003078891716,23.445118480579684,41.16249164861102,1055.8412620639797,57.50215832678666,42.907189905649744,59.830592833539185,47.08277834950305,63.56626311447367,78985.95203569495
Nyarugenge,Mageragere,-1.9872,30.0089,Clay loam,1,0,2,0,1,0,3,2,1,3,1,1,0,31,322,0,102,22,1030.4495109698153,77.64678383237457,102.46278257435722,12,14,1994.4327898101922,13.381578637381523,5.89454213090659,33.97580611150663,43.4665615238773,555.8157540587555,46.67703616855579,50.02994979215373,56.87045282039313,89.73669048402499,51.49437881996557,62989.31527801099
Nyarugenge,Muhima,-1.9436,30.0614,Sandy clay,0,0,2,1,2,0,2,7,6,10,2,0,2,25,653,157,170,0,663.2543910356178,77.71023672536813,102.25967183177481,24,22,1959.5414171394207,17.077055205275272,3.8564279439357794,55.28429717990935,72.47066776438126,1262.0518819636509,39.88710519162732,94.97235935709662,39.09272523038758,71.03080807320052,37.176365580730725,41474.49137373519
Nyarugenge,Nyakabanda,-1.9647,30.0397,Clay,1,0,2,0,0,4,10,9,1,12,3,0,2,2,619,78,57,90,842.3935260237843,91.80876240021799,122.2613457495578,28,19,1911.2917148827826,15.054103985442689,5.374525545365205,33.35792486475671,64.64645922580654,1409.4243130224393,91.53849861863588,59.197866879687346,54.770130778537876,86.42528501608493,27.322879874089146,76866.51632836615
Nyarugenge,Nyamirambo,-1.975,30.0397,Sandy loam,2,0,3,2,4,0,5,3,3,13,3,0,0,4,269,35,211,42,270.2956935305133,82.45291996478305,79.47590630004224,32,11,2024.4004363839485,19.148223816086727,5.896408552853593,39.73090095510958,62.66114208082717,1238.3467227341966,55.382626706318405,43.70899852381801,68.6803124901909,51.61712871519198,37.65437525810949,114123.85381284096
Nyarugenge,Nyarugenge,-1.9508,30.0556,Clay loam,3,1,1,1,1,0,1,7,2,5,4,0,0,9,555,48,169,98,844.4139778525437,144.36115505192566,121.70751602634412,10,9,1941.7857029347226,14.633053289244442,6.742338025987654,26.069897716125503,89.57904421131275,1147.7689402556034,27.917203019924347,52.01485370316909,45.12769722826183,51.24497378607808,40.389688635583674,105218.8239759123
Nyarugenge,Rwezamenyo,-1.9494,30.0556,Clay,0,3,0,2,2,3,3,9,3,11,0,1,1,31,511,113,229,64,480.4697832298812,34.12017331168543,137.36698979556834,28,22,1922.3012473926256,16.616123008911313,4.27191661505991,23.150402529941026,65.74579750451962,994.5710144216353,57.07970095060326,67.46012659128586,76.4402135781556,75.73347668401139,32.89203183411087,86261.9002557544
