district,population,area_km2,population_density,elevation_m,urban_percentage,agricultural_land_percentage,forest_coverage_percentage,healthcare_facilities,emergency_shelters
Nyarugenge,284561,134,2123.589552238806,1567,65,72,9,5,8
Gasabo,530907,430,1234.667441860465,1678,60,66,6,2,23
Kicukiro,319661,167,1914.1377245508982,1567,11,48,20,5,19
Nyanza,323719,672,481.7247023809524,1800,26,76,22,2,5
Gisagara,322803,679,475.40942562592045,1700,58,26,12,12,17
Nyaruguru,294334,1010,291.41980198019803,1900,52,44,9,10,25
Huye,328398,581,565.2289156626506,1800,70,43,29,15,8
Nyamagabe,341491,1091,313.00733272227313,2000,86,50,24,16,5
Ruhango,319885,622,514.2845659163987,1500,61,63,21,19,13
Muhanga,318965,647,492.9907264296754,1600,41,43,29,3,9
Kamonyi,340501,655,519.8488549618321,1700,46,49,29,7,23
Karongi,331808,993,334.147029204431,1600,71,46,13,3,26
Rutsiro,324654,1159,280.1156169111303,1800,38,35,12,4,27
Rubavu,403662,388,1040.3659793814434,1450,15,72,22,15,7
Nyabihu,295580,537,550.4283054003724,2500,33,33,6,6,11
Ngororero,333713,678,492.2020648967552,1650,85,38,22,13,25
Rusizi,404712,959,422.014598540146,1480,74,59,27,10,16
Nyamasheke,381804,1174,325.21635434412264,1600,46,71,16,8,25
Rulindo,287681,576,499.44618055555554,1700,50,50,13,7,16
Gakenke,338234,704,480.44602272727275,1750,81,52,20,16,13
Musanze,368265,530,694.8396226415094,2200,44,21,6,19,26
Burera,336582,645,521.8325581395349,2100,72,66,17,9,5
Gicumbi,395606,829,477.2086851628468,2000,57,57,25,8,11
Rwamagana,313461,692,452.978323699422,1350,49,33,5,6,8
Nyagatare,465855,1741,267.578977599081,1400,54,40,13,14,17
Gatsibo,433997,1585,273.81514195583594,1400,78,64,25,17,24
Kayonza,344157,1937,177.67527103768714,1350,62,61,14,16,11
Kirehe,340368,1211,281.0635838150289,1450,76,52,16,8,14
Ngoma,336928,861,391.321718931475,1300,48,28,19,12,13
Bugesera,361914,1337,270.6910994764398,1350,17,43,28,7,8
