date,district,disaster_type,severity,affected_population,economic_loss_usd
2000-01-01,Rusizi,Storm,Medium,4700,557260
2000-01-02,Muhanga,Flood,High,690,834998
2000-01-04,Ngoma,Landslide,High,3700,831385
2000-01-07,Nyamasheke,Earthquake,Severe,1141,733561
2000-01-09,Gicumbi,Flood,High,1159,765316
2000-01-10,Nyanza,Drought,High,2562,200731
2000-01-12,Nyanza,Flood,Low,4031,219571
2000-01-14,Rubavu,Storm,Low,3639,378755
2000-01-16,Huye,Landslide,Low,1874,700786
2000-01-17,Ngoma,Earthquake,Severe,3613,244105
2000-01-19,Nyaruguru,Storm,Low,1859,53278
2000-01-20,Rusizi,Landslide,Low,4670,788094
2000-01-24,Kirehe,Storm,Severe,3592,33813
2000-01-26,Nyaruguru,Flood,Severe,3578,587811
2000-01-31,Bugesera,Drought,High,4243,583876
2000-02-02,Kicukiro,Drought,Low,4417,651946
2000-02-04,Ngoma,Flood,Low,3679,182857
2000-02-05,Rulindo,Earthquake,High,4100,864980
2000-02-06,Ngororero,Flood,Medium,3011,566316
2000-02-10,Gisagara,Flood,Severe,3257,122897
2000-02-11,Ngororero,Earthquake,Medium,4571,710262
2000-02-15,Bugesera,Earthquake,Low,1670,919059
2000-02-18,Muhanga,Flood,Low,1368,886231
2000-02-19,Ruhango,Drought,Medium,4795,816239
2000-02-22,Karongi,Landslide,Severe,315,296066
2000-02-23,Gatsibo,Flood,High,4107,989044
2000-02-24,Nyamagabe,Storm,Low,3001,970634
2000-02-25,Rutsiro,Drought,Low,4912,633657
2000-02-26,Musanze,Flood,Low,4251,502638
2000-02-28,Nyabihu,Drought,Low,1319,785298
2000-02-29,Musanze,Flood,Low,1450,474234
2000-03-01,Kicukiro,Earthquake,Severe,3432,182180
2000-03-02,Muhanga,Drought,Severe,505,442970
2000-03-02,Huye,Earthquake,Medium,2934,215936
2000-03-03,Nyaruguru,Storm,High,3443,536045
2000-03-04,Nyanza,Drought,High,4665,198890
2000-03-06,Muhanga,Landslide,Medium,3139,198484
2000-03-06,Kamonyi,Flood,Severe,4907,636758
2000-03-09,Ruhango,Flood,Medium,1151,582907
2000-03-10,Bugesera,Earthquake,High,2079,943222
2000-03-10,Huye,Flood,Severe,1218,686762
2000-03-11,Rusizi,Flood,Severe,2738,615303
2000-03-13,Kicukiro,Earthquake,High,4148,799209
2000-03-13,Kayonza,Drought,Medium,2792,478830
2000-03-14,Rubavu,Drought,High,3077,662911
2000-03-15,Nyabihu,Drought,High,4954,978923
2000-03-17,Karongi,Landslide,Low,982,408905
2000-03-17,Huye,Flood,High,4002,71460
2000-03-18,Karongi,Landslide,Low,2804,99590
2000-03-18,Karongi,Landslide,High,4856,785136
2000-03-19,Rwamagana,Landslide,Medium,1604,539740
2000-03-19,Gatsibo,Landslide,Severe,54,850406
2000-03-20,Kamonyi,Flood,Severe,3089,195632
2000-03-20,Nyarugenge,Flood,Medium,80,392563
2000-03-21,Rwamagana,Flood,Medium,2700,240083
2000-03-22,Huye,Flood,High,2425,973764
2000-03-23,Nyanza,Storm,Low,1225,572660
2000-03-23,Kayonza,Drought,Low,4335,280096
2000-03-24,Nyaruguru,Landslide,Low,3002,550611
2000-03-25,Kayonza,Landslide,Severe,1314,374452
2000-03-25,Gakenke,Drought,High,1310,764202
2000-03-26,Nyamagabe,Landslide,High,3162,10022
2000-03-26,Gakenke,Flood,Medium,4362,147410
2000-03-27,Nyamasheke,Flood,Medium,2521,443052
2000-03-27,Muhanga,Storm,Medium,240,146772
2000-03-28,Rubavu,Storm,High,762,435717
2000-03-29,Bugesera,Drought,High,2248,228872
2000-03-29,Kamonyi,Drought,High,838,69013
2000-03-30,Gatsibo,Earthquake,Medium,214,19211
2000-03-30,Gicumbi,Landslide,High,4377,953281
2000-04-03,Gicumbi,Storm,Medium,4501,564470
2000-04-03,Burera,Storm,Low,4917,773577
2000-04-04,Huye,Landslide,Medium,854,423022
2000-04-04,Gasabo,Earthquake,Medium,3059,576444
2000-04-06,Nyamasheke,Earthquake,High,2974,401486
2000-04-06,Kayonza,Storm,Low,748,243395
2000-04-09,Gatsibo,Storm,High,4627,407974
2000-04-10,Ngoma,Earthquake,Low,2532,761873
2000-04-12,Gisagara,Flood,Medium,201,751776
2000-04-12,Rulindo,Storm,Low,2204,8722
2000-04-13,Rwamagana,Drought,Severe,2649,228709
2000-04-13,Nyarugenge,Earthquake,High,1343,875900
2000-04-14,Kirehe,Landslide,Medium,2374,334857
2000-04-17,Gakenke,Drought,High,1798,687593
2000-04-19,Kayonza,Landslide,Severe,694,948069
2000-04-20,Gicumbi,Storm,High,2884,769349
2000-04-20,Karongi,Earthquake,Medium,310,626197
2000-04-21,Rusizi,Flood,Low,3054,956879
2000-04-21,Ngororero,Drought,Medium,367,359531
2000-04-22,Rutsiro,Landslide,Low,4440,612388
2000-04-22,Nyamagabe,Storm,Low,2955,740708
2000-04-23,Rutsiro,Flood,Severe,3164,766792
2000-04-23,Ngororero,Flood,Severe,2642,988324
2000-04-26,Muhanga,Earthquake,High,996,504251
2000-04-27,Kicukiro,Earthquake,Low,4268,62021
2000-04-29,Kamonyi,Earthquake,Low,922,15250
2000-04-29,Kirehe,Flood,Low,4203,353116
2000-05-01,Nyanza,Earthquake,Severe,3990,519288
2000-05-01,Rulindo,Flood,Severe,635,661345
2000-05-02,Ngoma,Storm,High,3036,809635
2000-05-02,Burera,Landslide,Medium,2974,727673
2000-05-05,Nyabihu,Landslide,Severe,1254,406451
2000-05-07,Gisagara,Flood,Medium,3224,434763
2000-05-07,Nyabihu,Drought,Medium,2868,413165
2000-05-08,Nyagatare,Landslide,High,3932,146217
2000-05-08,Gakenke,Landslide,High,2550,544371
2000-05-12,Rwamagana,Flood,High,3668,383119
2000-05-14,Ngororero,Flood,High,2486,410674
